"","month","day","year","id","age","kg.meat","hours","datatype"
"1",10,2,1981,3043,67,0,6.97,1
"2",10,3,1981,3043,67,0,9,1
"3",10,4,1981,3043,67,0,1.55,1
"4",10,5,1981,3043,67,4.5,8,1
"5",10,6,1981,3043,67,0,3,1
"6",10,7,1981,3043,67,0,7.5,1
"7",10,8,1981,3043,67,0,9,1
"8",2,6,1982,3043,68,0,7.3,1
"9",2,7,1982,3043,68,0,8.1,1
"10",2,8,1982,3043,68,0,6,1
"11",2,9,1982,3043,68,0,8,1
"12",2,10,1982,3043,68,0,6.6,1
"13",2,11,1982,3043,68,0,7.1,1
"14",2,12,1982,3043,68,0,8.3,1
"15",2,13,1982,3043,68,0,7.8,1
"16",2,14,1982,3043,68,0,7.8,1
"17",2,15,1982,3043,68,2.8,3.4,1
"18",3,29,1982,3043,68,0,9.8,1
"19",3,30,1982,3043,68,0,9.6,1
"20",3,31,1982,3043,68,0,8.1,1
"21",4,1,1982,3043,68,0,8.6,1
"22",4,2,1982,3043,68,0,5.7,1
"23",4,3,1982,3043,68,5.5,8.7,1
"24",4,4,1982,3043,68,0,7.7,1
"25",4,5,1982,3043,68,0,11.2,1
"26",4,6,1982,3043,68,0,9.7,1
"27",3,31,1980,3059,62,0,8,1
"28",4,1,1980,3059,62,0,9.8,1
"29",4,2,1980,3059,62,0,6,1
"30",12,10,1981,3059,63,0,7.2,1
"31",12,11,1981,3059,63,0,9,1
"32",12,12,1981,3059,63,0,11,1
"33",12,13,1981,3059,63,0,0.4,1
"34",12,14,1981,3059,63,3.9,5.2,1
"35",12,15,1981,3059,63,0,5.9,1
"36",4,18,1982,3059,64,0,6.7,1
"37",4,19,1982,3059,64,0,5.3,1
"38",4,20,1982,3059,64,0,8,1
"39",4,21,1982,3059,64,0,4.4,1
"40",4,22,1982,3059,64,0,2.1,1
"41",4,23,1982,3059,64,0,9,1
"42",4,24,1982,3059,64,3,9.4,1
"43",4,25,1982,3059,64,0.45,7.7,1
"44",4,26,1982,3059,64,0,7.1,1
"45",3,31,1980,3079,56,0,7.8,1
"46",4,1,1980,3079,56,0.85,9.8,1
"47",4,2,1980,3079,56,0,5.4,1
"48",4,25,1980,3080,56,5.7,6.7,1
"49",4,26,1980,3080,56,0,9,1
"50",4,28,1980,3080,56,1,8,1
"51",4,29,1980,3080,56,24.36,4.5,1
"52",4,30,1980,3080,56,0,7,1
"53",5,2,1980,3080,56,0,6.8,1
"54",5,15,1980,3080,56,4.4,7.5,1
"55",5,16,1980,3080,56,0,9.8,1
"56",5,17,1980,3080,56,8.9,6.3,1
"57",5,18,1980,3080,56,0,5.8,1
